# timestamp(s) wx wy wz ax ay az
1430533168.730278254 -5.009348616 -0.709995604 -1.216471348 -9.425563147 2.428890917 0.504510353
1430533168.740278244 -5.589289601 -0.467103339 -0.865070062 -9.341673424 2.447026390 0.698891188
1430533168.750278234 -6.186358153 -0.204413505 -0.430026811 -9.275637442 2.449526466 0.893646622
1430533168.760277987 -6.755690701 0.048608077 0.052308573 -9.239684380 2.340885163 1.006838097
1430533168.770278215 -7.246430024 0.267479587 0.565510315 -9.258677568 2.191110450 1.115241767
1430533168.780278206 -7.602234538 0.421725369 1.069363880 -9.272885907 1.917451665 1.133226965
1430533168.790278196 -7.783260393 0.513672849 1.525046863 -9.347473601 1.673236446 1.044280241
1430533168.800277948 -7.734828208 0.513459747 1.895205181 -9.496974367 1.346453074 0.868935176
1430533168.810278177 -7.409295156 0.442777428 2.143032711 -9.632924192 1.042158548 0.537381982
1430533168.820278168 -6.794842903 0.300865833 2.236402499 -9.754513961 0.835475521 0.149712261
1430533168.830278158 -5.955593476 0.115372159 2.186150861 -9.878345001 0.741119339 -0.087981982
1430533168.840277910 -4.963897077 -0.090307416 1.993582423 -9.991457175 0.749885408 -0.275995023
1430533168.850278139 -3.898904742 -0.300368196 1.668753932 -10.061299298 0.787428867 -0.376719275
1430533168.860278368 -2.832029550 -0.487441317 1.220705287 -10.098627311 0.812786110 -0.392364277
1430533168.870278120 -1.828221240 -0.647450473 0.650296270 -10.081808257 0.832894435 -0.333853264
1430533168.880278111 -0.976346510 -0.751068780 -0.024133188 -10.030073295 0.890238095 -0.159223108
1430533168.890278101 -0.336301319 -0.775763658 -0.801380510 -9.979439527 0.866582466 0.115562942
1430533168.900278330 0.016560290 -0.703723668 -1.660327687 -9.891614612 0.825866825 0.454706145
1430533168.910278082 0.002054305 -0.507310727 -2.592768562 -9.773948794 0.674923622 0.906228290
1430533168.920278072 -0.401444680 -0.182812815 -3.575584865 -9.594612647 0.474601381 1.297805735
1430533168.930278063 -1.130264609 0.272213096 -4.588785541 -9.499898711 0.186137972 1.549296656
1430533168.940278292 -2.124657558 0.840293192 -5.611802251 -9.401411524 -0.257384641 1.686718382
1430533168.950278044 -3.305921757 1.492333690 -6.630140588 -9.325352252 -0.823265664 1.672912234
1430533168.960278034 -4.595396085 2.201270576 -7.639855473 -9.257678555 -1.487246643 1.499249857
1430533168.970278263 -5.915906716 2.920336136 -8.632737722 -9.131974129 -2.290422036 1.133397271
1430533168.980278254 -7.181537490 3.621386443 -9.624269429 -8.954078583 -3.152366011 0.495268007
1430533168.990278244 -8.293941184 4.266696262 -10.635526786 -8.649017773 -3.982325933 -0.343321721
1430533169.000277996 -9.158127721 4.849607334 -11.681467901 -8.116904540 -4.843209174 -1.384612112
1430533169.010278225 -9.663114827 5.396895150 -12.755806088 -7.409285096 -5.499623607 -2.677554891
1430533169.020278215 -9.756954583 5.948283017 -13.837204943 -6.501512536 -6.066332587 -3.965111146
1430533169.030278206 -9.464558227 6.510747364 -14.894021818 -5.313424542 -6.372789071 -5.168460527
1430533169.040277958 -8.834243879 7.113258461 -15.853333914 -3.855925151 -6.532683530 -6.265928098
1430533169.050278187 -7.940151687 7.779999820 -16.666511327 -2.260649934 -6.413037307 -7.157254407
1430533169.060278177 -6.879697336 8.524104003 -17.245790017 -0.473354606 -6.126262536 -7.738884151
1430533169.070278168 -5.765150203 9.345561097 -17.541658612 1.373387387 -5.607057886 -8.065923296
1430533169.080277920 -4.702656877 10.219083819 -17.512911404 3.263294802 -4.859613346 -7.936139939
1430533169.090278149 -3.795149928 11.083919050 -17.156563649 5.039741407 -3.890646712 -7.453808886
1430533169.100278378 -3.112781546 11.846414733 -16.502363315 6.630382414 -2.718336802 -6.574349548
1430533169.110278130 -2.667436435 12.412201390 -15.610654957 7.935212249 -1.482981134 -5.369053468
1430533169.120278120 -2.423299825 12.696253455 -14.547261843 8.837854334 -0.225367674 -3.895738788
1430533169.130278111 -2.300228023 12.677919088 -13.376282478 9.260114532 1.077138303 -2.439311050
1430533169.140278339 -2.241635052 12.351524571 -12.158501160 9.306353276 2.230193904 -0.995219665
1430533169.150278091 -2.187731399 11.716271205 -10.928690674 9.102475115 3.255823936 0.357355241
1430533169.160278082 -2.096238792 10.791803805 -9.729233445 8.662677728 4.096315035 1.519152549
1430533169.170278072 -1.939012889 9.594296982 -8.573959296 8.064040309 4.814887394 2.455666226
1430533169.180278301 -1.703403839 8.139289802 -7.494731547 7.489611488 5.418157159 3.144938425
1430533169.190278053 -1.367988795 6.440965290 -6.498242090 7.001355452 5.925146636 3.576119923
1430533169.200278044 -0.919076698 4.516299999 -5.613600790 6.612359781 6.337988887 3.761937916
1430533169.210278034 -0.350604411 2.371958781 -4.857443975 6.281707835 6.738429239 3.719500901
1430533169.220278263 0.359553233 0.039925997 -4.245119766 6.139893642 7.186692390 3.480870797
1430533169.230278254 1.182798300 -2.422454641 -3.750205164 6.030717003 7.558691669 3.165102807
1430533169.240278006 2.110033480 -4.934874934 -3.347548285 5.912825673 7.885824261 2.674765259
1430533169.250278234 3.125047993 -7.422056871 -3.021271016 5.901069072 8.183077870 2.048577391
1430533169.260278225 4.203910288 -9.819522181 -2.756089144 5.769339585 8.382401711 1.220358280
1430533169.270278215 5.312398695 -12.058034437 -2.548702514 5.663970987 8.551923484 0.348999615
1430533169.280277967 6.421063386 -14.063747332 -2.395467267 5.377800295 8.663802889 -0.671941892
1430533169.290278196 7.477093160 -15.792706222 -2.291922812 5.085940840 8.629272925 -1.757950987
1430533169.300278187 8.443883714 -17.167878725 -2.235585531 4.641393917 8.531195029 -2.852969608
1430533169.310278177 9.268071968 -18.151810583 -2.213101727 4.119385448 8.327919762 -3.917243795
1430533169.320277929 9.915785480 -18.702134352 -2.206509781 3.402687548 8.020720532 -4.962227188
1430533169.330278158 10.352421660 -18.852670891 -2.206422790 2.477018443 7.606751202 -6.009928620
1430533169.340278387 10.573031009 -18.654695551 -2.208471939 1.315971617 7.000797218 -6.966850835
1430533169.350278139 10.564050060 -18.149663590 -2.212140889 -0.044575409 6.383995855 -7.723724682
1430533169.360278130 10.309211282 -17.371832738 -2.207314820 -1.501554785 5.582766476 -8.126461593
1430533169.370278120 9.812228031 -16.371698622 -2.202593408 -3.005880589 4.720283751 -8.246097291
1430533169.380278349 9.054620606 -15.189476172 -2.202554263 -4.495202584 3.920418619 -7.965594059
1430533169.390278101 8.043104386 -13.849983918 -2.194347952 -5.900587099 3.100953050 -7.382322975
1430533169.400278091 6.775536993 -12.399545784 -2.166413770 -7.133507112 2.431143808 -6.495019614
1430533169.410278082 5.257311260 -10.866764629 -2.106967325 -8.064313007 1.859879319 -5.408604739
1430533169.420278311 3.531491928 -9.283918397 -1.994698212 -8.888306716 1.459988976 -4.285537415
1430533169.430278063 1.668152857 -7.665929455 -1.830793936 -9.416015621 1.105086521 -3.256803971
1430533169.440278053 -0.245567592 -6.054536484 -1.610401452 -9.702211778 0.862421095 -2.395423517
1430533169.450278044 -2.104496992 -4.474370405 -1.326122944 -9.835820981 0.628187958 -1.730222981
1430533169.460278273 -3.839208081 -2.972182562 -0.973408579 -9.985349908 0.358989409 -1.335070768
1430533169.470278263 -5.354150407 -1.592222280 -0.559564538 -9.989458591 0.138001951 -1.152731530
1430533169.480278015 -6.583690363 -0.373900612 -0.093748123 -9.971665763 -0.018335318 -1.279625526
1430533169.490278244 -7.440681228 0.618103296 0.401646675 -9.972159072 -0.056548311 -1.543285886
1430533169.500278234 -7.875594703 1.357002602 0.875543356 -9.849038056 -0.098618818 -2.065712795
1430533169.510278225 -7.800640762 1.794144515 1.294899465 -9.741629530 0.091824404 -2.707684901
1430533169.520277977 -7.188607878 1.932354590 1.602088260 -9.581283956 0.336761712 -3.364272783
1430533169.530278206 -6.102592173 1.806534761 1.798056514 -9.458221979 0.694131388 -3.906599908
1430533169.540278196 -4.633995798 1.482559584 1.885494033 -9.279530289 1.029346784 -4.306705238
1430533169.550278187 -2.869940045 1.009438932 1.874914988 -9.138621087 1.345591910 -4.595766180
1430533169.560277939 -0.904501310 0.443421212 1.782976282 -9.043018864 1.588087422 -4.722553051
1430533169.570278168 1.174829636 -0.182779284 1.646297262 -9.025873118 1.695023733 -4.712972033
1430533169.580278158 3.274290385 -0.833560286 1.488992866 -9.018352002 1.716770979 -4.606489447
1430533169.590278149 5.300367183 -1.473324684 1.355216451 -9.028516361 1.623411500 -4.422981054
1430533169.600277901 7.164503103 -2.067282650 1.288999995 -9.187672851 1.456539080 -4.059521045
1430533169.610278130 8.783063193 -2.564614612 1.333429633 -9.280867187 1.296898447 -3.576278145
1430533169.620278358 10.089389383 -2.929145373 1.504592103 -9.407645266 1.178421813 -2.949326928
1430533169.630278111 11.105706583 -3.167947952 1.804172284 -9.492655831 1.130236100 -2.434584763
1430533169.640278101 11.869179432 -3.298048885 2.191149087 -9.605405391 1.098914544 -1.932743737
1430533169.650278091 12.426280721 -3.326832640 2.630551711 -9.637173863 1.192301540 -1.524741626
1430533169.660278320 12.817777462 -3.276706909 3.074788992 -9.655543288 1.374272542 -1.194946292
1430533169.670278072 13.086974710 -3.161226614 3.469768935 -9.669631339 1.573352406 -0.952008575
1430533169.680278063 13.280206947 -3.006743390 3.772581460 -9.697350074 1.836368754 -0.771009392
1430533169.690278053 13.440756018 -2.857334877 3.937834118 -9.663283035 2.102430192 -0.640329901
1430533169.700278282 13.600575626 -2.751769862 3.933031852 -9.589684346 2.256127544 -0.642990555
1430533169.710278034 13.786627886 -2.760274100 3.746253586 -9.648445709 2.435773907 -0.574369475
1430533169.720278025 14.005394717 -2.919278879 3.378865280 -9.643281487 2.540163600 -0.594077532
1430533169.730278254 14.229312937 -3.225652146 2.880963905 -9.636979207 2.665296711 -0.572848453
1430533169.740278244 14.419905419 -3.628438152 2.281904076 -9.626577502 2.798430565 -0.555739109
1430533169.750278234 14.529518374 -4.096508746 1.643195885 -9.637425105 2.914076886 -0.540954418
1430533169.760277987 14.533044615 -4.576176633 1.017465286 -9.623195337 2.959826894 -0.526352892
1430533169.770278215 14.396889508 -5.014061417 0.461244602 -9.577430217 3.035889205 -0.481202758
1430533169.780278206 14.107442490 -5.336314225 0.031199818 -9.587526350 3.001366275 -0.452289886
1430533169.790278196 13.656017820 -5.475583562 -0.260510403 -9.539917330 2.982072315 -0.449265507
1430533169.800277948 13.024733339 -5.344387692 -0.395553153 -9.542117992 2.910024818 -0.428075424
1430533169.810278177 12.212375459 -4.873832676 -0.399361706 -9.571427419 2.848070323 -0.468949962
1430533169.820278168 11.207286829 -4.018356321 -0.309795712 -9.527552849 2.732702590 -0.489609234
1430533169.830278158 10.020403849 -2.829914951 -0.171739217 -9.484994851 2.581840549 -0.628906579
1430533169.840277910 8.683110241 -1.382170226 -0.027894151 -9.535700895 2.437544026 -0.715600431
1430533169.850278139 7.205108508 0.235329011 0.074415838 -9.503187276 2.328249335 -0.917147362
1430533169.860278368 5.616629687 1.947705035 0.104717056 -9.492355253 2.251858778 -1.136715302
1430533169.870278120 3.945101031 3.656705944 0.040584607 -9.458646776 2.187733393 -1.471365412
1430533169.880278111 2.223092679 5.292999922 -0.135911802 -9.411399409 2.092597061 -1.887861955
1430533169.890278101 0.499380694 6.774454335 -0.416987584 -9.262116576 2.086395984 -2.345294508
1430533169.900278330 -1.187988693 8.049179578 -0.776281990 -9.188851824 2.067118103 -2.915524555
1430533169.910278082 -2.789355871 9.049345830 -1.178655819 -8.972055057 2.074463096 -3.463705206
1430533169.920278072 -4.268482599 9.731853321 -1.566145015 -8.795872302 2.151578239 -4.052462364
1430533169.930278063 -5.585543247 10.095379571 -1.917908067 -8.437831354 2.253137271 -4.707346463
1430533169.940278292 -6.718595075 10.168425829 -2.212822179 -8.063267029 2.440961740 -5.295138603
1430533169.950278044 -7.626111189 9.954004649 -2.459286201 -7.574454844 2.674407705 -5.867445886
1430533169.960278034 -8.280070883 9.467292235 -2.662921575 -7.064152406 3.026482399 -6.312167417
1430533169.970278263 -8.642557238 8.709717987 -2.842000316 -6.476057624 3.403192674 -6.641128182
1430533169.980278254 -8.676550243 7.707668663 -3.004969410 -5.942373321 3.895389645 -6.800533683
1430533169.990278244 -8.352881456 6.465057352 -3.148653605 -5.435127915 4.340888573 -6.836283863
1430533170.000277996 -7.624788374 5.008297579 -3.259901519 -5.037780956 4.798671852 -6.739077173
1430533170.010278225 -6.472436296 3.354733341 -3.307811270 -4.706666356 5.237784130 -6.550114708
1430533170.020278215 -4.886102653 1.533573667 -3.254764048 -4.537473382 5.528606356 -6.314125919
1430533170.030278206 -2.969243801 -0.401976364 -3.089284360 -4.505993404 5.709953146 -6.099892350
1430533170.040277958 -0.848524448 -2.385306918 -2.796113638 -4.582279050 5.791565667 -5.943207216
1430533170.050278187 1.348759566 -4.337201206 -2.395916369 -4.778825345 5.659194097 -5.868856518
1430533170.060278177 3.524830633 -6.191923664 -1.931634481 -5.142676583 5.423818350 -5.819090773
1430533170.070278168 5.548226720 -7.861672977 -1.458906904 -5.503910750 5.022524980 -5.784220863
1430533170.080277920 7.301798413 -9.302314476 -1.045926534 -6.069435811 4.486664247 -5.783485859
1430533170.090278149 8.653953809 -10.455961657 -0.769099462 -6.692370216 3.856138558 -5.699789837
1430533170.100278378 9.454540871 -11.298054089 -0.685765519 -7.370069968 3.124054058 -5.409526393
