# timestamp(s) wx wy wz ax ay az
1430533023.980254889 -4.622617464 -0.092848293 -0.462783108 -8.326767131 0.929442268 2.737271868
1430533023.990254879 -4.626900221 -0.088916841 -0.465090057 -8.272201820 0.754528414 2.830453338
1430533024.000254869 -4.626201674 -0.093032775 -0.461616226 -8.307830013 0.640902664 2.843651994
1430533024.010254860 -5.166181518 -0.113393497 -0.602895931 -8.771611856 1.791914844 2.296778101
1430533024.020254850 -5.163871073 -0.109650258 -0.600346516 -8.772123268 1.608164281 2.441871174
1430533024.030254841 -5.162895039 -0.114836850 -0.604149155 -8.743652927 1.377301702 2.481297485
1430533024.040254831 -5.163356860 -0.112682533 -0.604613000 -8.746433307 1.221730435 2.538879857
1430533024.050254822 -5.163587958 -0.111870410 -0.604409990 -8.785188590 1.030743580 2.624334766
1430533024.060254812 -5.163664682 -0.114265175 -0.603529946 -8.773143878 0.856359982 2.719207181
1430533024.070254803 -5.166111287 -0.113549392 -0.604601974 -8.739502382 0.668423947 2.709148348
1430533024.080254793 -5.166705252 -0.112160146 -0.604356373 -8.776576841 0.446026041 2.766211188
1430533024.090254784 -5.160964283 -0.112537850 -0.602885835 -8.822199367 0.252232810 2.825009915
1430533024.100254774 -5.166575079 -0.110501106 -0.602936905 -8.751068807 0.044040081 2.829835651
1430533024.110254765 -4.494669928 0.262656157 -0.469267694 -9.030326258 -0.614197122 4.968731084
1430533024.120254755 -4.492742786 0.265751299 -0.469629279 -9.039312990 -0.845792926 4.941812561
1430533024.130254745 -4.493460212 0.268324230 -0.471091474 -9.075953377 -1.165659212 4.819701438
1430533024.140254736 -4.491863293 0.266500231 -0.466994790 -9.032492120 -1.403728327 4.761056944
1430533024.150254726 -4.494425970 0.265358682 -0.472419433 -9.067110559 -1.642075016 4.659968686
1430533024.160254717 -4.493950411 0.265052152 -0.469384694 -9.079763222 -1.945417626 4.571855933
1430533024.170254707 -4.490953348 0.263734206 -0.471617081 -9.063901965 -2.165343750 4.405704863
1430533024.180254698 -4.494163566 0.265456080 -0.469153942 -9.046728545 -2.394216024 4.335668122
1430533024.190254688 -4.495667313 0.265463272 -0.469266670 -9.052717671 -2.629753382 4.135954651
1430533024.200254679 -4.493680200 0.266820642 -0.470269491 -9.045616638 -2.889786338 3.988261396
1430533024.210254669 -4.033191191 0.673978952 0.111241482 -10.062510792 -1.164275324 3.109745375
1430533024.220254660 -4.034255697 0.672615119 0.108039525 -10.054157105 -1.302967686 2.968497261
1430533024.230254650 -4.034123361 0.672198206 0.107712011 -10.038122788 -1.383865978 2.843393937
1430533024.240254641 -4.032789363 0.672246629 0.110078877 -10.114350049 -1.502335188 2.714493798
1430533024.250254631 -4.032490516 0.671057913 0.114555589 -10.144702636 -1.612646207 2.536673937
1430533024.260254622 -4.033996476 0.674133636 0.108695371 -10.156527613 -1.707280582 2.428616742
1430533024.270254612 -4.032941600 0.675899836 0.109747966 -10.152487405 -1.740340477 2.336983109
1430533024.280254602 -4.031894624 0.675285828 0.110704356 -10.228962216 -1.888833528 2.160574006
1430533024.290254593 -4.034361012 0.672205205 0.112508534 -10.156985116 -1.975960373 1.985192271
1430533024.300254583 -4.034053843 0.671541251 0.111524011 -10.208166816 -2.011219546 1.871119769
1430533024.310254574 -4.032563917 0.670687461 0.109066253 -10.256032603 -2.098630347 1.691422461
1430533024.320254564 -4.545856429 0.299413895 -0.166564364 -9.031193632 -2.408270024 -0.028748077
1430533024.330254555 -4.546923690 0.298593834 -0.165918977 -9.066544330 -2.440917142 -0.193459726
1430533024.340254545 -4.547472899 0.298338434 -0.166700605 -9.019123631 -2.439658773 -0.313438203
1430533024.350254536 -4.549463199 0.297839427 -0.164734095 -9.055937135 -2.443770953 -0.466562862
1430533024.360254526 -4.546770472 0.296943371 -0.167403616 -9.018716399 -2.429876361 -0.613807983
1430533024.370254517 -4.548525687 0.294380378 -0.166432478 -9.015175957 -2.412489503 -0.748057590
1430533024.380254507 -4.546015321 0.296505888 -0.163206094 -9.035270900 -2.394358241 -0.889661776
1430533024.390254498 -4.549894858 0.297371750 -0.165077334 -8.980280784 -2.396721085 -0.991292091
1430533024.400254488 -4.546245297 0.298341619 -0.166253935 -9.004082783 -2.352676816 -1.181002599
1430533024.410254478 -4.547650974 0.297383278 -0.166600279 -8.989331724 -2.327133935 -1.252900593
1430533024.420254469 -4.695504853 0.318832688 -0.329055967 -8.088677779 -3.508827607 -1.841749615
1430533024.430254459 -4.697680959 0.320794659 -0.327768655 -8.044983545 -3.476654166 -2.028974883
1430533024.440254450 -4.693699805 0.314887771 -0.329382066 -8.061794833 -3.397966128 -2.236691341
1430533024.450254440 -4.691980127 0.317345832 -0.328352345 -8.013937850 -3.310171275 -2.412675313
1430533024.460254431 -4.692594769 0.320365784 -0.326429497 -8.007522996 -3.245341255 -2.605621653
1430533024.470254421 -4.694281132 0.315615310 -0.326694666 -7.973953748 -3.127679976 -2.769775219
1430533024.480254412 -4.694907745 0.318652674 -0.325654502 -7.950725611 -3.016731791 -2.938307361
1430533024.490254402 -4.695317477 0.314046895 -0.330181214 -7.958156420 -2.939503689 -3.097642870
1430533024.500254393 -4.692788348 0.318760432 -0.332187254 -7.898799753 -2.755757579 -3.297060055
1430533024.510254383 -4.696534015 0.321268416 -0.329399876 -7.915383069 -2.688713735 -3.428207892
1430533024.520254374 -4.032136097 -0.289844318 0.100136605 -8.456125461 -3.314997865 -2.490938203
1430533024.530254364 -4.030004470 -0.286739904 0.099323950 -8.458382015 -3.197769307 -2.588823079
1430533024.540254354 -4.030102721 -0.287653586 0.098161897 -8.486790557 -3.079055903 -2.748785372
1430533024.550254345 -4.028977325 -0.290607977 0.099241974 -8.490985007 -2.976543113 -2.811946886
1430533024.560254335 -4.030284503 -0.292929305 0.098052869 -8.460549677 -2.866658046 -2.897754558
1430533024.570254326 -4.028807267 -0.287913668 0.097514360 -8.517278530 -2.708821256 -2.967978650
1430533024.580254316 -4.030496295 -0.289228215 0.101322690 -8.530615238 -2.577755188 -3.045113628
1430533024.590254307 -4.026412419 -0.290803210 0.100471909 -8.511262999 -2.449929272 -3.165650498
1430533024.600254297 -4.033797609 -0.288464145 0.097063165 -8.515292081 -2.286912656 -3.195144761
1430533024.610254288 -4.029985217 -0.290294183 0.100588342 -8.562933827 -2.211927209 -3.306898923
1430533024.620254278 -4.902571129 -0.444780838 0.003297087 -9.376627619 -0.152866038 -6.617640792
1430533024.630254269 -4.903254838 -0.446190851 0.004484892 -9.398613501 0.175064685 -6.591264563
1430533024.640254259 -4.903360789 -0.448391852 0.003066339 -9.462356178 0.486952733 -6.562915574
1430533024.650254250 -4.902634918 -0.446617738 0.003887436 -9.463107641 0.818324784 -6.496980450
1430533024.660254240 -4.900194702 -0.443348163 0.003654035 -9.482119432 1.102612552 -6.338954310
1430533024.670254230 -4.902242641 -0.444208735 0.002079572 -9.516501467 1.417703872 -6.307426333
1430533024.680254221 -4.904019881 -0.445489419 0.006133898 -9.535378892 1.775360401 -6.171454994
1430533024.690254211 -4.902157891 -0.445797478 0.004014977 -9.554725006 2.028311045 -6.079137993
1430533024.700254202 -4.901998868 -0.447065518 0.003175573 -9.602772312 2.293696895 -5.891831613
1430533024.710254192 -4.902534434 -0.448045053 0.002506064 -9.614864262 2.581601397 -5.760954577
1430533024.720254183 -6.437060649 -0.241429842 0.073179962 -10.666689248 -1.158946281 -5.577898207
1430533024.730254173 -6.433817276 -0.240476877 0.071943985 -10.695384025 -0.825968952 -5.581763881
1430533024.740254164 -6.433081858 -0.239384952 0.070252622 -10.699974755 -0.455291490 -5.631843831
1430533024.750254154 -6.431674074 -0.238884962 0.069803526 -10.722152621 -0.096523112 -5.589535827
1430533024.760254145 -6.435723687 -0.237933548 0.069768989 -10.744130764 0.238481472 -5.587374677
1430533024.770254135 -6.436678525 -0.239975959 0.072627618 -10.742723653 0.617625572 -5.537857986
1430533024.780254126 -6.434212025 -0.239343541 0.073329732 -10.771462125 1.020554646 -5.491295546
1430533024.790254116 -6.432538931 -0.240725150 0.069520045 -10.738350599 1.329319529 -5.350400850
1430533024.800254107 -5.280364257 0.334748773 0.297660691 -9.610060420 0.509956843 -2.662566672
1430533024.810254097 -5.278692962 0.338477095 0.293593766 -9.552274188 0.687659397 -2.660229860
1430533024.820254087 -5.281137031 0.337150259 0.296572595 -9.550964672 0.854887323 -2.653512996
1430533024.830254078 -5.279604505 0.335339391 0.301205906 -9.499450111 1.019556496 -2.650596286
1430533024.840254068 -5.280012538 0.337504064 0.293927517 -9.520825201 1.163640751 -2.624758027
1430533024.850254059 -5.282420833 0.339653063 0.298675838 -9.532353889 1.338273592 -2.615840760
1430533024.860254049 -5.276858029 0.335879929 0.294603685 -9.498707251 1.486984359 -2.565868492
1430533024.870254040 -5.277031453 0.338094603 0.296480208 -9.485064352 1.658533720 -2.498852029
1430533024.880254030 -5.279676057 0.337331893 0.295350622 -9.459420637 1.801683066 -2.495199520
1430533024.890254021 -5.277869014 0.336018504 0.294929513 -9.446841075 1.982064086 -2.391829076
1430533024.900254011 -4.118873172 0.144078516 0.110845129 -8.720405262 2.552458583 -2.832669263
1430533024.910254002 -4.118733203 0.141097647 0.110549494 -8.699051327 2.659672108 -2.764808829
1430533024.920253992 -4.115021052 0.141149944 0.107665970 -8.695455256 2.760740203 -2.694795369
1430533024.930253983 -4.116192986 0.142200347 0.105574857 -8.714290442 2.928556577 -2.562658311
1430533024.940253973 -4.115308872 0.142447520 0.107899355 -8.658937275 3.010863575 -2.485604379
1430533024.950253963 -4.118296697 0.140809041 0.106651976 -8.666410517 3.168424344 -2.343016096
1430533024.960253954 -4.116997304 0.141184003 0.105774469 -8.658181363 3.256707484 -2.234687430
1430533024.970253944 -4.118641662 0.142825943 0.108037408 -8.691775880 3.320285329 -2.129643633
1430533024.980253935 -4.116551727 0.140713594 0.106939858 -8.641655318 3.415505190 -2.015450901
1430533024.990253925 -4.115552672 0.138487024 0.107145771 -8.652725949 3.491736537 -1.891925245
1430533025.000253916 -4.118994290 0.142651410 0.105809778 -8.641582409 3.555411618 -1.759051877
1430533025.010253906 -5.210061819 -0.472128730 -0.227063794 -7.265224827 1.860854166 -2.180607750
1430533025.020253897 -5.210147000 -0.467123320 -0.229024540 -7.308092563 1.919500565 -2.005796077
1430533025.030253887 -5.209225968 -0.468788171 -0.231878920 -7.311524721 2.013149288 -1.889887306
1430533025.040253878 -5.211007986 -0.471064507 -0.229716934 -7.315582915 2.050418350 -1.773258952
1430533025.050253868 -5.206943493 -0.468329648 -0.229233608 -7.298298145 2.175751890 -1.604935356
1430533025.060253859 -5.210454547 -0.470098669 -0.231679908 -7.335985253 2.225957238 -1.473260577
1430533025.070253849 -5.210000070 -0.472304892 -0.227595969 -7.327715426 2.250080690 -1.325828978
1430533025.080253839 -5.209585817 -0.472192531 -0.226390639 -7.358328784 2.322476868 -1.184982179
1430533025.090253830 -5.208118888 -0.469294992 -0.230794759 -7.366131617 2.350607734 -1.010312380
1430533025.100253820 -5.209003946 -0.468088553 -0.232931743 -7.378325620 2.354959919 -0.854732909
1430533025.110253811 -5.209407699 -0.469183499 -0.229187154 -7.398440422 2.378707760 -0.708963989
1430533025.120253801 -5.671724582 -0.611439122 -0.639780219 -8.666471744 1.796077592 0.922203476
1430533025.130253792 -5.668001784 -0.611536367 -0.637185485 -8.650624982 1.692337899 1.070931845
1430533025.140253782 -5.668001218 -0.612447096 -0.639207724 -8.704104874 1.545504600 1.228184208
1430533025.150253773 -5.667457220 -0.609889435 -0.640212628 -8.674120193 1.379447628 1.321945481
1430533025.160253763 -5.667419656 -0.611223775 -0.641532074 -8.688818737 1.264421528 1.479142247
1430533025.170253754 -5.667234533 -0.612836702 -0.638659397 -8.685742254 1.124213820 1.624641888
1430533025.180253744 -5.670498347 -0.612745898 -0.636382632 -8.680421789 0.966348764 1.697451985
1430533025.190253735 -5.669335929 -0.609778022 -0.638826701 -8.606841589 0.802593973 1.795012046
1430533025.200253725 -4.751024277 0.001859931 -0.559456204 -9.713490683 0.119039070 4.807926598
1430533025.210253716 -4.747326592 0.004210691 -0.563437897 -9.717988855 -0.181165658 4.780837111
1430533025.220253706 -4.746775166 -0.001120428 -0.563103612 -9.754990727 -0.479830723 4.760000555
1430533025.230253696 -4.751650553 0.001866484 -0.558742487 -9.728464630 -0.738608173 4.725716993
1430533025.240253687 -4.749818798 -0.001946847 -0.561667327 -9.676553832 -1.010586827 4.674343489
1430533025.250253677 -4.749658321 0.003308751 -0.560861740 -9.688276832 -1.316167444 4.636885556
1430533025.260253668 -4.753146805 0.002820687 -0.560515341 -9.682399834 -1.592818527 4.549072057
1430533025.270253658 -4.751819777 0.003430792 -0.558116100 -9.671465965 -1.832289082 4.456387112
1430533025.280253649 -4.751023075 0.004886635 -0.560034056 -9.677776991 -2.153208070 4.382873856
1430533025.290253639 -4.752570718 0.002326529 -0.560502925 -9.638574426 -2.383471605 4.233384062
1430533025.300253630 -4.752005897 0.000943661 -0.562255462 -9.693228284 -2.667487608 4.157957366
